County,Sub County,Village,incidence,Severity,Longitude,Latitude
Bungoma,Bungoma,Mukuyuni,32.8,40,34° 36.578' E,0° 45.207' N
Bungoma,Bungoma,Kamukuywa,23.2,33.33333333,34° 39.528' E,0° 45.313' N
Bungoma,Bungoma,Sikhendu,6.4,33.33333333,34° 44.529' E,0° 47.197' N
Bungoma,Bungoma,Bisuni,12,33.33333333,34° 41.227' E,0° 43.064' N
Bungoma,Bungoma Central,Milani B-Sichei,36,46.66666667,34° 38.016' E,0° 44.121' N
Bungoma,Bungoma Central,Kilimani- Chwele,74,73.33333333,34° 34.331' E,0° 44.286' N
Bungoma,Bungoma Central,Khachonge 1- Khachonge,20.4,40,34° 37.538' E,0° 40.955' N
Bungoma,Bungoma Central,Muyehe- Kabuchai,13.6,40,34° 33.853' E,0° 42.148' N
Bungoma,Bungoma N/S,Matunda,20,33.33333333,34° 39.175' E,0° 43.134' N
Bungoma,Bungoma West,Namwela,48,33.33333333,34° 33.330' E,0° 45.011' N
Bungoma,Bungoma West,Namutoholo- Namwela,10.4,40,34° 32.081' E,0° 46.185' N
Busia,Butula,Sigomere- Butula,36,46.66666667,34° 15.947' E,0° 20.320' N
Vihiga,Hamisi,Shaviringa,82,86.66666667,34° 52.751' E,0° 09.098' N
Vihiga,Hamisi,Lososi,76,86.66666667,34° 48.277' E,0° 07.114' N
Vihiga,Hamisi,"Erusui, seremi",14,33.33333333,34° 50.477' E,0° 05.589' N
Vihiga,Hamisi,Shaviringa,17.6,40,34° 52.381' E,0° 07.930' N
Kakamega,Kakamega East,Mukangu,74,80,34° 51.338' E,2° 22.134' N
Kakamega,Kakamega East,Lukala-Shinyalu,48,53.33333333,34° 48.793' E,1° 15.722' N
Kakamega,Kakamega East,Airstrip Shinyalu,20,46.66666667,34° 47.212' E,1° 16.165' N
Kakamega,Kakamega East,Shamiloli- Shinyalu,30.8,40,34° 50.378' E,1° 16.065' N
Kakamega,Kakamega East,Shasaba,27.2,53.33333333,34° 48.580' E,1° 13.035' N
Kakamega,Kakamega East,Musingu- Kabras,35.2,46.66666667,34° 52.790' E,2° 26.761' N
Kakamega,Kakamega East,Sanjiro- Musingu,29.6,33.33333333,34° 51.631' E,2° 26.586' N
Kakamega,Kakamega East,Mukangu- Kakunga,14.8,40,34° 51.338' E,2° 22.134' N
Kakamega,Kakamega South,Shitohi- Butere,34,46.66666667,34° 34.684' E,1° 13.887' N
Kakamega,Kakamega South,Mutoma- Butere,66,86.66666667,34° 34.685' E,1° 13.887' N
Kakamega,Kakamega South,Ekero- Mumias,12,33.33333333,34° 30.115' E,1° 17.393' N
Kakamega,Kakamega West,Igukhu,70,66.66666667,34° 44.702' E,0° 09.114' N
Kakamega,Kakamega West,Malinya-Ikolomani,52,66.66666667,34° 43.783' E,1° 12.046' N
Kakamega,Kakamega West,Isulu- Ikolomani,14.8,33.33333333,34° 41.296' E,1° 11.708' N
Kakamega,Lugari,Maturu- luandeti,14,33.33333333,34° 50.763' E,2° 26.768' N
Kakamega,Lugari,Lugari station,46,66.66666667,34° 52.332' E,3° 36.565' N
Kakamega,Lugari,Lumama- Lugari,26.8,46.66666667,34° 56.093' E,3° 39.406' N
Busia,Matayos,Bugengi-Buhayo west,16,60,34° 10.495' E,2° 24.278' N
Busia,Matayos,Luliba lwanya,42,60,34° 11.839' E,2° 20.595' N
Bungoma,Kanduyi,Mayanja,34,60,34° 29.929' E,3° 35.623' N
Bungoma,Kanduyi,Mayanja -kibuke,33.2,40,34° 29.929' E,3° 35.623' N
Nandi,Nandi South,Aldai,6.4,33.33333333,34° 52.453' E,0° 05.830' N
Nandi,Nandi South,Cheplat Aldai,21.6,53.33333333,34° 56.589' E,0° 03.693' N
Vihiga,Sabatia,"Mulele, kisatiru",20,33.33333333,34° 45.802' E,0° 07.671' N
