County,incidence,Severity
Bungoma,32.8,1
Bungoma,23.2,1
Bungoma,6.4,1
Bungoma,12,1
Bungoma,36,1
Bungoma,74,2
Bungoma,20.4,1
Bungoma,13.6,1
Bungoma,20,1
Bungoma,48,1
Bungoma,10.4,1
Busia,36,1
Vihiga,82,3
Vihiga,76,3
Vihiga,14,1
Vihiga,17.6,1
Kakamega,74,2
Kakamega,48,2
Kakamega,20,1
Kakamega,30.8,1
Kakamega,27.2,2
Kakamega,35.2,1
Kakamega,29.6,1
Kakamega,14.8,1
Kakamega,34,1
Kakamega,66,3
Kakamega,12,1
Kakamega,70,2
Kakamega,52,2
Kakamega,14.8,1
Kakamega,14,1
Kakamega,46,2
Kakamega,26.8,1
Busia,16,2
Busia,42,2
Bungoma,34,2
Bungoma,33.2,1
Nandi,6.4,1
Nandi,21.6,2
Vihiga,20,1
