County,Sub County,Village,incidence,Severity
Bungoma,Bungoma,Mukuyuni,16.4,1.2
Bungoma,Bungoma,Kamukuywa,11.6,1
Bungoma,Bungoma,Sikhendu,3.2,1
Bungoma,Bungoma,Bisuni,6,1
Bungoma,Bungoma Central,Milani B-Sichei,18,1.4
Bungoma,Bungoma Central,Kilimani- Chwele,37,2.2
Bungoma,Bungoma Central,Khachonge 1- Khachonge,10.2,1.2
Bungoma,Bungoma Central,Muyehe- Kabuchai,6.8,1.2
Bungoma,Bungoma N/S,Matunda,10,1
Bungoma,Bungoma West,Namwela,24,1
Bungoma,Bungoma West,Namutoholo- Namwela,5.2,1.2
Busia,Butula,Sigomere- Butula,18,1.4
Vihiga,Hamisi,Shaviringa,41,2.6
Vihiga,Hamisi,Lososi,38,2.6
Vihiga,Hamisi,"Erusui, seremi",7,1
Vihiga,Hamisi,Shaviringa,8.8,1.2
Kakamega,Kakamega East,Mukangu,37,2.4
Kakamega,Kakamega East,Lukala-Shinyalu,24,1.6
Kakamega,Kakamega East,Airstrip Shinyalu,10,1.4
Kakamega,Kakamega East,Shamiloli- Shinyalu,15.4,1.2
Kakamega,Kakamega East,Shasaba,13.6,1.6
Kakamega,Kakamega East,Musingu- Kabras,17.6,1.4
Kakamega,Kakamega East,Sanjiro- Musingu,14.8,1
Kakamega,Kakamega East,Mukangu- Kakunga,7.4,1.2
Kakamega,Kakamega South,Shitohi- Butere,17,1.4
Kakamega,Kakamega South,Mutoma- Butere,33,2.6
Kakamega,Kakamega South,Ekero- Mumias,6,1
Kakamega,Kakamega West,Igukhu,35,2
Kakamega,Kakamega West,Malinya-Ikolomani,26,2
Kakamega,Kakamega West,Isulu- Ikolomani,7.4,1
Kakamega,Lugari,Maturu- luandeti,7,1
Kakamega,Lugari,Lugari station,23,2
Kakamega,Lugari,Lumama- Lugari,13.4,1.4
Busia,Matayos,Bugengi-Buhayo west,8,1.8
Busia,Matayos,Luliba lwanya,21,1.8
Bungoma,Mayanja -kibuke,Mayanja,17,1.8
Bungoma,Mayanja -kibuke,Mayanja -kibuke,16.6,1.2
Nandi,Nandi South,Aldai,3.2,1
Nandi,Nandi South,Cheplat Aldai,10.8,1.6
Vihiga,Sabatia,"Mulele, kisatiru",10,1
